arquivo,entidade,acao,criticidade,usar cudEscopado?,usar Deno?,prioridade
src/pages/IndicacoesDomPedroII.jsx,Medalha,update,alto risco,SIM,SIM,2
src/pages/IndicacoesDomPedroII.jsx,Medalha,update,alto risco,SIM,SIM,2
src/pages/Medalhas.jsx,Medalha,delete,alto risco,SIM,SIM,2
src/pages/TemplatesTexto.jsx,TemplateTexto,create,alto risco,SIM,SIM,2
src/pages/TemplatesTexto.jsx,TemplateTexto,delete,alto risco,SIM,SIM,2
src/pages/TemplatesTexto.jsx,TemplateTexto,update,alto risco,SIM,SIM,2
src/pages/TiposMedalha.jsx,TipoMedalha,create,alto risco,SIM,SIM,2
src/pages/TiposMedalha.jsx,TipoMedalha,delete,alto risco,SIM,SIM,2
src/pages/VerMilitar.jsx,ImpedimentoMedalha,create,alto risco,SIM,SIM,2
src/pages/VerMilitar.jsx,ImpedimentoMedalha,update,alto risco,SIM,SIM,2
src/services/comportamentoRPService.js,TemplateTexto,create,alto risco,SIM,SIM,2
src/services/medalhasTempoServicoService.js,Medalha,create,alto risco,SIM,SIM,2
src/services/medalhasTempoServicoService.js,Medalha,update,alto risco,SIM,SIM,2
src/services/medalhasTempoServicoService.js,TipoMedalha,create,alto risco,SIM,SIM,2
src/services/medalhasTempoServicoService.js,TipoMedalha,update,alto risco,SIM,SIM,2
src/components/militar/FuncaoSelector.jsx,Funcao,create,backlog,NÃO,NÃO,3
src/components/militar/LotacaoSelector.jsx,Lotacao,create,backlog,NÃO,NÃO,3
src/components/quadro/CardDetalheModal.jsx,CardChecklistItem,create,backlog,NÃO,NÃO,3
src/components/quadro/CardDetalheModal.jsx,CardChecklistItem,delete,backlog,NÃO,NÃO,3
src/components/quadro/CardDetalheModal.jsx,CardChecklistItem,update,backlog,NÃO,NÃO,3
src/components/quadro/CardDetalheModal.jsx,CardComentario,create,backlog,NÃO,NÃO,3
src/components/quadro/CardDetalheModal.jsx,CardOperacional,update,backlog,NÃO,NÃO,3
src/components/quadro/CardDetalheModal.jsx,CardOperacional,update,backlog,NÃO,NÃO,3
src/components/quadro/CardDetalheModal.jsx,CardOperacional,update,backlog,NÃO,NÃO,3
src/components/quadro/quadroHelpers.jsx,CardChecklistItem,create,backlog,NÃO,NÃO,3
src/components/quadro/quadroHelpers.jsx,CardComentario,create,backlog,NÃO,NÃO,3
src/components/quadro/quadroHelpers.jsx,CardComentario,create,backlog,NÃO,NÃO,3
src/components/quadro/quadroHelpers.jsx,CardOperacional,create,backlog,NÃO,NÃO,3
src/components/quadro/quadroHelpers.jsx,CardOperacional,update,backlog,NÃO,NÃO,3
src/components/quadro/quadroHelpers.jsx,CardOperacional,update,backlog,NÃO,NÃO,3
src/components/quadro/quadroHelpers.jsx,CardOperacional,update,backlog,NÃO,NÃO,3
src/components/quadro/quadroHelpers.jsx,CardOperacional,update,backlog,NÃO,NÃO,3
src/components/quadro/quadroHelpers.jsx,CardVinculo,create,backlog,NÃO,NÃO,3
src/components/quadro/quadroHelpers.jsx,CardVinculo,delete,backlog,NÃO,NÃO,3
src/components/quadro/quadroHelpers.jsx,CardVinculo,update,backlog,NÃO,NÃO,3
src/pages/CadastrarArmamento.jsx,Armamento,create,backlog,NÃO,NÃO,3
src/pages/CadastrarArmamento.jsx,Armamento,update,backlog,NÃO,NÃO,3
src/pages/Configuracoes.jsx,Funcao,create,backlog,NÃO,NÃO,3
src/pages/Configuracoes.jsx,Funcao,delete,backlog,NÃO,NÃO,3
src/pages/Configuracoes.jsx,Lotacao,create,backlog,NÃO,NÃO,3
src/pages/Configuracoes.jsx,Lotacao,delete,backlog,NÃO,NÃO,3
src/pages/EstruturaOrganizacional.jsx,Subgrupamento,create,backlog,NÃO,NÃO,3
src/pages/EstruturaOrganizacional.jsx,Subgrupamento,delete,backlog,NÃO,NÃO,3
src/pages/EstruturaOrganizacional.jsx,Subgrupamento,update,backlog,NÃO,NÃO,3
src/pages/QuadroOperacional.jsx,CardComentario,create,backlog,NÃO,NÃO,3
src/pages/QuadroOperacional.jsx,CardOperacional,create,backlog,NÃO,NÃO,3
src/pages/QuadroOperacional.jsx,CardOperacional,update,backlog,NÃO,NÃO,3
src/pages/QuadroOperacional.jsx,CardOperacional,update,backlog,NÃO,NÃO,3
src/pages/QuadroOperacional.jsx,CardOperacional,update,backlog,NÃO,NÃO,3
src/pages/QuadroOperacional.jsx,ColunaOperacional,create,backlog,NÃO,NÃO,3
src/pages/QuadroOperacional.jsx,ColunaOperacional,update,backlog,NÃO,NÃO,3
src/pages/QuadroOperacional.jsx,ColunaOperacional,update,backlog,NÃO,NÃO,3
src/pages/QuadroOperacional.jsx,ColunaOperacional,update,backlog,NÃO,NÃO,3
src/pages/QuadroOperacional.jsx,QuadroOperacional,create,backlog,NÃO,NÃO,3
